,country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
0,TUR,41.30076,36.24116,318.07,1.11,1.05,2022-07-10,833,Terra,MODIS,73,6.1NRT,298.44,9.47,D
1,TUR,40.84616,35.46791,322.4,1.07,1.03,2022-07-10,833,Terra,MODIS,71,6.1NRT,300.37,13.29,D
2,TUR,39.79282,37.08943,323.43,1.26,1.12,2022-07-10,833,Terra,MODIS,31,6.1NRT,307.67,8.86,D
3,TUR,39.10725,34.21822,324.62,1.03,1.01,2022-07-10,833,Terra,MODIS,38,6.1NRT,309.26,6.81,D
4,TUR,38.74253,35.32612,328.42,1.11,1.05,2022-07-10,833,Terra,MODIS,56,6.1NRT,307.39,12.91,D
5,TUR,38.69183,35.62783,324.81,1.14,1.06,2022-07-10,833,Terra,MODIS,56,6.1NRT,307.0,8.87,D
6,TUR,38.55876,34.63354,322.43,1.06,1.03,2022-07-10,833,Terra,MODIS,49,6.1NRT,306.03,7.1,D
7,TUR,38.55163,34.61915,321.74,1.06,1.03,2022-07-10,833,Terra,MODIS,35,6.1NRT,306.72,6.69,D
8,TUR,38.25994,34.00772,327.0,1.03,1.02,2022-07-10,833,Terra,MODIS,26,6.1NRT,307.61,7.09,D
9,TUR,37.60145,36.77115,323.04,1.33,1.14,2022-07-10,833,Terra,MODIS,0,6.1NRT,307.73,8.32,D
10,TUR,37.38886,37.17862,326.62,1.41,1.17,2022-07-10,833,Terra,MODIS,52,6.1NRT,310.62,14.69,D
11,TUR,37.38593,37.194,335.13,1.41,1.18,2022-07-10,833,Terra,MODIS,83,6.1NRT,309.93,34.01,D
12,TUR,37.38121,37.18605,372.41,1.41,1.18,2022-07-10,833,Terra,MODIS,100,6.1NRT,315.25,179.44,D
13,TUR,37.12558,40.50145,330.14,1.73,1.29,2022-07-10,1006,Aqua,MODIS,59,6.1NRT,317.7,16.59,D
14,TUR,37.44215,39.25326,330.45,2.02,1.39,2022-07-10,1006,Aqua,MODIS,44,6.1NRT,318.78,13.42,D
15,TUR,37.74661,38.97998,333.0,2.07,1.4,2022-07-10,1006,Aqua,MODIS,64,6.1NRT,316.0,40.02,D
16,TUR,36.81242,39.53157,306.21,1.52,1.22,2022-07-10,1936,Terra,MODIS,64,6.1NRT,295.13,10.46,N
17,TUR,37.12333,39.92918,315.21,1.62,1.25,2022-07-10,1936,Terra,MODIS,90,6.1NRT,297.02,23.73,N
18,TUR,37.62091,39.09394,315.3,1.47,1.2,2022-07-10,1936,Terra,MODIS,91,6.1NRT,296.4,20.86,N
19,TUR,37.62556,39.10445,309.97,1.47,1.2,2022-07-10,1936,Terra,MODIS,78,6.1NRT,296.38,14.08,N
20,TUR,37.62396,39.08779,309.06,1.47,1.2,2022-07-10,1936,Terra,MODIS,75,6.1NRT,295.99,12.63,N
21,TUR,37.43775,37.12163,311.37,1.17,1.08,2022-07-10,1936,Terra,MODIS,82,6.1NRT,294.09,11.72,N
22,TUR,37.47659,39.44222,329.95,1.87,1.34,2022-07-11,737,Terra,MODIS,64,6.1NRT,315.58,16.65,D
